Ano,Código da Área,Área de Avaliação,Grau Acadêmico,Código da IES,Nome da IES*,Sigla da IES*,Organização Acadêmica,Categoria Administrativa,Código do Curso,Modalidade de Ensino,Código do Município**,Município do Curso**,Sigla da UF** ,Nº de Concluintes Inscritos,Nº  de Concluintes Participantes,Nota Bruta - FG,Nota Padronizada - FG,Nota Bruta - CE,Nota Padronizada - CE,Conceito Enade (Contínuo),Conceito Enade (Faixa),Observação,Entidade Beneficiente de Assistência Social (CEBAS)
2021,2501,ARTES VISUAIS ,Licenciatura,43,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,Universidade,Pública Estadual,117352,Educação Presencial,4205407,Florianópolis,SC,24,22,"49,531","4,318","57,586","3,404","3,632",4,,-
2021,2501,ARTES VISUAIS ,Licenciatura,54,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Universidade,Pública Estadual,91972,Educação Presencial,3509502,Campinas,SP,24,15,"54,16",5,"70,273",5,5,5,,-
2021,2501,ARTES VISUAIS ,Licenciatura,56,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Universidade,Pública Estadual,94725,Educação Presencial,3550308,São Paulo,SP,61,53,"52,147","4,703","68,262","4,747","4,736",5,,-
2021,2501,ARTES VISUAIS ,Licenciatura,56,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Universidade,Pública Estadual,1212284,Educação Presencial,3506003,Bauru,SP,30,28,"42,089","3,223","64,85","4,317","4,044",5,,-
2021,2501,ARTES VISUAIS ,Licenciatura,57,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Universidade,Pública Estadual,5000539,Educação Presencial,4115200,Maringá,PR,43,38,"42,807","3,329","58,636","3,536","3,484",4,,-
2021,2501,ARTES VISUAIS ,Licenciatura,76,UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,Universidade,Pública Municipal,1178043,Educação Presencial,4202404,Blumenau,SC,15,14,"35,664","2,277","59,907","3,696","3,341",4,,-
2021,2501,ARTES VISUAIS ,Licenciatura,125,CENTRO UNIVERSITÁRIO DE ARARAS -,UNAR,Centro Universitário,Privada sem fins lucrativos,1143413,Educação a Distância,3503307,Araras,SP,560,316,"26,819","0,975","39,41","1,117","1,082",2,,-
2021,2501,ARTES VISUAIS ,Licenciatura,150,UNIVERSIDADE DE SOROCABA,UNISO,Universidade,Privada sem fins lucrativos,1111550,Educação Presencial,3552205,Sorocaba,SP,14,14,"37,164","2,498","54,457","3,01","2,882",3,,X
2021,2501,ARTES VISUAIS ,Licenciatura,206,CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO,UNIÍTALO,Centro Universitário,Privada sem fins lucrativos,109871,Educação Presencial,3550308,São Paulo,SP,22,18,"30,222","1,476","49,061","2,331","2,117",3,,-
2021,2501,ARTES VISUAIS ,Licenciatura,206,CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO,UNIÍTALO,Centro Universitário,Privada sem fins lucrativos,1487895,Educação a Distância,3550308,São Paulo,SP,5,0,,,,,,SC,,-
2021,2501,ARTES VISUAIS ,Licenciatura,221,UNIVERSIDADE CRUZEIRO DO SUL,UNICSUL,Universidade,Privada com fins lucrativos,70395,Educação Presencial,3550308,São Paulo,SP,31,26,"33,63","1,978","53,2","2,852","2,633",3,,-
2021,2501,ARTES VISUAIS ,Licenciatura,221,UNIVERSIDADE CRUZEIRO DO SUL,UNICSUL,Universidade,Privada com fins lucrativos,1321293,Educação a Distância,3550308,São Paulo,SP,178,121,"32,897","1,87","44,751","1,789","1,809",2,,-
2021,2501,ARTES VISUAIS ,Licenciatura,265,CENTRO UNIVERSITÁRIO DAS FACULDADES INTEGRADAS DE OURINHOS,Unifio,Centro Universitário,Privada sem fins lucrativos,23315,Educação Presencial,3534708,Ourinhos,SP,11,10,"23,34","0,463","50,86","2,557","2,034",3,,-
2021,2501,ARTES VISUAIS ,Licenciatura,271,UNIVERSIDADE DO OESTE PAULISTA,UNOESTE,Universidade,Privada sem fins lucrativos,6481,Educação Presencial,3541406,Presidente Prudente,SP,7,0,,,,,,SC,,-
2021,2501,ARTES VISUAIS ,Licenciatura,275,UNIVERSIDADE DO VALE DO PARAÍBA,UNIVAP,Universidade,Privada sem fins lucrativos,101578,Educação Presencial,3549904,São José dos Campos,SP,10,8,"37,525","2,551",54,"2,952","2,852",3,,X
2021,2501,ARTES VISUAIS ,Licenciatura,298,Universidade Pitágoras Unopar Anhanguera,,Universidade,Privada com fins lucrativos,1266926,Educação a Distância,4113700,Londrina,PR,95,88,"29,307","1,342","44,306","1,733","1,635",2,,-
2021,2501,ARTES VISUAIS ,Licenciatura,322,UNIVERSIDADE PAULISTA,UNIP,Universidade,Privada com fins lucrativos,1285868,Educação a Distância,3550308,São Paulo,SP,465,314,"29,834","1,419","42,334","1,485","1,469",2,,-
2021,2501,ARTES VISUAIS ,Licenciatura,367,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,Universidade,Pública Estadual,92597,Educação Presencial,3143302,Montes Claros,MG,14,6,"30,9","1,576","49,433","2,378","2,178",3,,-
2021,2501,ARTES VISUAIS ,Licenciatura,370,FACULDADE PAULISTA DE ARTES,FPA,Faculdade,Privada sem fins lucrativos,28184,Educação Presencial,3550308,São Paulo,SP,39,31,"36,57","2,411","50,051","2,456","2,445",3,,-
2021,2501,ARTES VISUAIS ,Licenciatura,374,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,FMU,Centro Universitário,Privada com fins lucrativos,111006,Educação Presencial,3550308,São Paulo,SP,82,67,"42,307","3,255","54,841","3,058","3,108",4,,-
2021,2501,ARTES VISUAIS ,Licenciatura,383,UNIVERSIDADE DA AMAZÔNIA,UNAMA,Universidade,Privada com fins lucrativos,52386,Educação Presencial,1501402,Belém,PA,51,0,,,,,,,Curso para o qual estatisticamente não foi possível calcular o indicador,-
2021,2501,ARTES VISUAIS ,Licenciatura,417,UNIVERSIDADE CIDADE DE SÃO PAULO,UNICID,Universidade,Privada com fins lucrativos,1314375,Educação a Distância,3550308,São Paulo,SP,172,127,"32,898","1,87","44,672","1,779","1,802",2,,-
2021,2501,ARTES VISUAIS ,Licenciatura,461,CENTRO UNIVERSITÁRIO ARMANDO ALVARES PENTEADO,FA-FAAP,Faculdade,Privada sem fins lucrativos,9600,Educação Presencial,3550308,São Paulo,SP,10,8,"45,65","3,747","63,437","4,14","4,041",5,,X
2021,2501,ARTES VISUAIS ,Licenciatura,482,UNIVERSIDADE DO EXTREMO SUL CATARINENSE,UNESC,Universidade,Privada sem fins lucrativos,119216,Educação Presencial,4204608,Criciúma,SC,17,14,"34,428","2,095","59,171","3,603","3,226",4,,X
2021,2501,ARTES VISUAIS ,Licenciatura,496,UNIVERSIDADE DE FRANCA,UNIFRAN,Universidade,Privada com fins lucrativos,1323001,Educação a Distância,3516200,Franca,SP,148,94,"30,827","1,565","43,209","1,595","1,588",2,,-
2021,2501,ARTES VISUAIS ,Licenciatura,547,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,Universidade,Pública Estadual,111889,Educação Presencial,3304557,Rio de Janeiro,RJ,76,52,"37,363","2,527","62,29","3,995","3,628",4,,-
2021,2501,ARTES VISUAIS ,Licenciatura,548,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,Universidade,Pública Federal,11462,Educação Presencial,2111300,São Luís,MA,49,42,"36,823","2,448","52,097","2,713","2,647",3,,-
2021,2501,ARTES VISUAIS ,Licenciatura,548,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,Universidade,Pública Federal,1153642,Educação a Distância,2111300,São Luís,MA,16,15,"28,213","1,181","47,44","2,127","1,891",2,,-
2021,2501,ARTES VISUAIS ,Licenciatura,569,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,114907,Educação Presencial,1501402,Belém,PA,38,0,,,,,,,Curso para o qual estatisticamente não foi possível calcular o indicador,-
2021,2501,ARTES VISUAIS ,Licenciatura,570,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,Universidade,Pública Federal,95667,Educação Presencial,2408102,Natal,RN,46,40,"47,54","4,025","60,392","3,757","3,824",4,,-
2021,2501,ARTES VISUAIS ,Licenciatura,571,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,Universidade,Pública Federal,116522,Educação Presencial,4106902,Curitiba,PR,15,10,"41,79","3,179","57,41","3,381","3,331",4,,-
2021,2501,ARTES VISUAIS ,Licenciatura,573,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,Universidade,Pública Federal,52472,Educação Presencial,3205309,Vitória,ES,73,48,"41,689","3,164","60,25","3,739","3,595",4,,-
2021,2501,ARTES VISUAIS ,Licenciatura,573,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,Universidade,Pública Federal,116892,Educação a Distância,3205309,Vitória,ES,1,0,,,,,,SC,,-
2021,2501,ARTES VISUAIS ,Licenciatura,573,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,Universidade,Pública Federal,1112914,Educação Presencial,3205309,Vitória,ES,33,24,"42,854","3,335","55,65","3,16","3,204",4,,-
2021,2501,ARTES VISUAIS ,Licenciatura,575,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,Universidade,Pública Federal,12943,Educação Presencial,3106200,Belo Horizonte,MG,37,30,"45,636","3,745","65,28","4,371","4,215",5,,-
2021,2501,ARTES VISUAIS ,Licenciatura,576,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,Universidade,Pública Federal,1153951,Educação Presencial,3136702,Juiz de Fora,MG,30,17,"42,982","3,354","62,064","3,967","3,814",4,,-
2021,2501,ARTES VISUAIS ,Licenciatura,578,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,Universidade,Pública Federal,13312,Educação Presencial,2927408,Salvador,BA,5,4,"45,5","3,725","60,525","3,773","3,761",4,,-
2021,2501,ARTES VISUAIS ,Licenciatura,579,UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,Universidade,Pública Federal,107438,Educação Presencial,2507507,João Pessoa,PB,13,10,"47,83","4,068","56,87","3,313","3,502",4,,-
2021,2501,ARTES VISUAIS ,Licenciatura,580,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Universidade,Pública Federal,23910,Educação Presencial,2611606,Recife,PE,40,38,"38,607","2,71","54,71","3,042","2,959",4,,-
2021,2501,ARTES VISUAIS ,Licenciatura,581,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,Universidade,Pública Federal,116768,Educação Presencial,4314902,Porto Alegre,RS,43,35,"52,417","4,743","66,42","4,515","4,572",5,,-
2021,2501,ARTES VISUAIS ,Licenciatura,582,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,Universidade,Pública Federal,84840,Educação Presencial,4316907,Santa Maria,RS,16,12,"35,55","2,26","54,975","3,075","2,871",3,,-
2021,2501,ARTES VISUAIS ,Licenciatura,584,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,Universidade,Pública Federal,21990,Educação Presencial,5208707,Goiânia,GO,20,17,"36,311","2,373","62,723","4,05","3,63",4,,-
2021,2501,ARTES VISUAIS ,Licenciatura,584,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,Universidade,Pública Federal,1147017,Educação a Distância,5208707,Goiânia,GO,31,22,"34,268","2,072","50,436","2,504","2,396",3,,-
2021,2501,ARTES VISUAIS ,Licenciatura,587,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,Universidade,Pública Federal,1151733,Educação a Distância,2611606,Recife,PE,24,21,"32,185","1,765","42,861","1,551","1,605",2,,-
