Ano,Código da Área,Área de Avaliação,Grau Acadêmico,Código da IES,Nome da IES*,Sigla da IES*,Organização Acadêmica,Categoria Administrativa**,Código do Curso,Modalidade de Ensino,Código do Município,Município do Curso,Sigla da UF,Nº de Concluintes Inscritos,Nº  de Concluintes Participantes,Total Concluinte Acima do Padrão,Percentual Concluintes Acima do Padrão,Conceito Enade (Faixa),CEBAS
2025,12,MEDICINA,Bacharelado,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Universidade,Pública Federal,90091,Educação Presencial,3548906,São Carlos,SP,38,38,38,1,5,NÃO
2025,12,MEDICINA,Bacharelado,1334,CENTRO UNIVERSITÁRIO FACISA,UNIFACISA,Centro Universitário,Privada com fins lucrativos,90483,Educação Presencial,2504009,Campina Grande,PB,240,237,142,"0,599",2,NÃO
2025,12,MEDICINA,Bacharelado,3151,UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ,UNOCHAPECÓ,Universidade,Comunitária/Confessional,90847,Educação Presencial,4204202,Chapecó,SC,52,52,42,"0,808",4,SIM
2025,12,MEDICINA,Bacharelado,718,UNIVERSIDADE POTIGUAR,UNP,Universidade,Privada com fins lucrativos,91219,Educação Presencial,2408102,Natal,RN,251,248,192,"0,774",4,NÃO
2025,12,MEDICINA,Bacharelado,295,UNIVERSIDADE DE SANTA CRUZ DO SUL,UNISC,Universidade,Comunitária/Confessional,91399,Educação Presencial,4316808,Santa Cruz do Sul,RS,83,83,54,"0,651",3,SIM
2025,12,MEDICINA,Bacharelado,555,UNIVERSIDADE DE FORTALEZA,UNIFOR,Universidade,Privada sem fins lucrativos,93001,Educação Presencial,2304400,Fortaleza,CE,192,192,170,"0,885",4,SIM
2025,12,MEDICINA,Bacharelado,494,UNIVERSIDADE DO SUL DE SANTA CATARINA,UNISUL,Universidade,Comunitária/Confessional,97679,Educação Presencial,4211900,Palhoça,SC,213,213,133,"0,624",3,SIM
2025,12,MEDICINA,Bacharelado,664,UNIVERSIDADE VILA VELHA,UVV,Universidade,Privada com fins lucrativos,98406,Educação Presencial,3205200,Vila Velha,ES,194,192,149,"0,776",4,NÃO
2025,12,MEDICINA,Bacharelado,1917,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE CACOAL,UNINASSAU,Centro Universitário,Privada com fins lucrativos,98409,Educação Presencial,1100049,Cacoal,RO,95,92,61,"0,663",3,NÃO
2025,12,MEDICINA,Bacharelado,792,CENTRO UNIVERSITÁRIO DO ESTADO DO PARÁ,CESUPA,Centro Universitário,Privada sem fins lucrativos,98506,Educação Presencial,1501402,Belém,PA,154,152,120,"0,789",4,NÃO
2025,12,MEDICINA,Bacharelado,4849,Afya Centro Universitário de Araguaína,Afya Araguaína,Centro Universitário,Privada com fins lucrativos,99476,Educação Presencial,1702109,Araguaína,TO,161,161,90,"0,559",2,NÃO
2025,12,MEDICINA,Bacharelado,349,CENTRO UNIVERSITÁRIO DE BELO HORIZONTE,UNI-BH,Centro Universitário,Privada com fins lucrativos,100688,Educação Presencial,3106200,Belo Horizonte,MG,126,124,76,"0,613",3,NÃO
2025,12,MEDICINA,Bacharelado,466,UNIVERSIDADE ANHEMBI MORUMBI,UAM,Universidade,Privada com fins lucrativos,100956,Educação Presencial,3550308,São Paulo,SP,280,277,127,"0,458",2,NÃO
2025,12,MEDICINA,Bacharelado,737,CENTRO UNIVERSITÁRIO SÃO CAMILO,SAO CAMILO,Centro Universitário,Comunitária/Confessional,100958,Educação Presencial,3550308,São Paulo,SP,207,205,178,"0,868",4,SIM
2025,12,MEDICINA,Bacharelado,38,UNIVERSIDADE DO ESTADO DO PARÁ,UEPA,Universidade,Pública Estadual,101228,Educação Presencial,1506807,Santarém,PA,43,43,28,"0,651",3,NÃO
2025,12,MEDICINA,Bacharelado,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Universidade,Pública Federal,103596,Educação Presencial,3146107,Ouro Preto,MG,81,80,73,"0,913",5,NÃO
2025,12,MEDICINA,Bacharelado,4256,Afya Centro Universitário de Montes Claros,Afya Montes Claros,Centro Universitário,Privada com fins lucrativos,107666,Educação Presencial,3143302,Montes Claros,MG,109,109,93,"0,853",4,NÃO
2025,12,MEDICINA,Bacharelado,1128,UNIVERSIDADE DE ITAÚNA,UI,Universidade,Privada sem fins lucrativos,107766,Educação Presencial,3133808,Itaúna,MG,105,105,61,"0,581",2,SIM
2025,12,MEDICINA,Bacharelado,3371,CENTRO UNIVERSITÁRIO DE PATOS DE MINAS,UNIPAM,Centro Universitário,Privada sem fins lucrativos,108014,Educação Presencial,3148004,Patos de Minas,MG,97,96,81,"0,844",4,NÃO
2025,12,MEDICINA,Bacharelado,1336,CENTRO UNIVERSITÁRIO ASSIS GURGACZ,FAG,Centro Universitário,Privada sem fins lucrativos,108882,Educação Presencial,4104808,Cascavel,PR,162,161,125,"0,776",4,NÃO
2025,12,MEDICINA,Bacharelado,384,Universidade Evangélica de Goiás,UniEVANGÉLICA,Universidade,Privada sem fins lucrativos,108884,Educação Presencial,5201108,Anápolis,GO,182,182,153,"0,841",4,SIM
2025,12,MEDICINA,Bacharelado,3849,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,Universidade,Pública Federal,113504,Educação Presencial,1721000,Palmas,TO,37,35,28,"0,8",4,NÃO
2025,12,MEDICINA,Bacharelado,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Universidade,Pública Federal,120983,Educação Presencial,3122306,Divinópolis,MG,44,44,36,"0,818",4,NÃO
2025,12,MEDICINA,Bacharelado,586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,Universidade,Pública Federal,121850,Educação Presencial,3302403,Macaé,RJ,79,53,42,"0,792",4,NÃO
2025,12,MEDICINA,Bacharelado,730,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,UEPG,Universidade,Pública Estadual,150039,Educação Presencial,4119905,Ponta Grossa,PR,40,40,37,"0,925",5,NÃO
2025,12,MEDICINA,Bacharelado,3194,FACULDADE DE MINAS BH,FAMINAS-BH,Centro Universitário,Privada com fins lucrativos,1029204,Educação Presencial,3106200,Belo Horizonte,MG,225,225,129,"0,573",2,NÃO
2025,12,MEDICINA,Bacharelado,830,UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,Universidade,Pública Federal,1029763,Educação Presencial,1600303,Macapá,AP,21,20,17,"0,85",4,NÃO
2025,12,MEDICINA,Bacharelado,13040,Afya Faculdade de Ciências Médicas de Marabá,Afya Marabá,Faculdade,Privada com fins lucrativos,1050663,Educação Presencial,1504208,Marabá,PA,121,119,65,"0,546",2,NÃO
2025,12,MEDICINA,Bacharelado,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Universidade,Comunitária/Confessional,1059179,Educação Presencial,4113700,Londrina,PR,101,101,71,"0,703",3,SIM
2025,12,MEDICINA,Bacharelado,8,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Universidade,Pública Federal,1068548,Educação Presencial,3171303,Viçosa,MG,51,51,50,"0,98",5,NÃO
2025,12,MEDICINA,Bacharelado,2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,Universidade,Pública Federal,1101742,Educação Presencial,2503704,Cajazeiras,PB,37,35,28,"0,8",4,NÃO
2025,12,MEDICINA,Bacharelado,513,UNIVERSIDADE VALE DO RIO DOCE,UNIVALE,Universidade,Privada sem fins lucrativos,1102360,Educação Presencial,3127701,Governador Valadares,MG,75,75,39,"0,52",2,NÃO
2025,12,MEDICINA,Bacharelado,2158,Centro Universitário Santa Maria,Unifsm,Centro Universitário,Privada com fins lucrativos,1104264,Educação Presencial,2503704,Cajazeiras,PB,78,77,54,"0,701",3,NÃO
2025,12,MEDICINA,Bacharelado,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pública Federal,1108153,Educação Presencial,2803500,Lagarto,SE,59,59,56,"0,949",5,NÃO
2025,12,MEDICINA,Bacharelado,338,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PUC MINAS,Universidade,Comunitária/Confessional,1108281,Educação Presencial,3106705,Betim,MG,141,141,86,"0,61",3,NÃO
2025,12,MEDICINA,Bacharelado,2835,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU,UNINASSAU,Centro Universitário,Privada com fins lucrativos,1108786,Educação Presencial,2611606,Recife,PE,291,287,130,"0,453",2,NÃO
2025,12,MEDICINA,Bacharelado,14892,FACULDADE DE CIÊNCIAS DA SAÚDE DE BARRETOS DR. PAULO PRATA,FACISB,Faculdade,Privada com fins lucrativos,1109361,Educação Presencial,3505500,Barretos,SP,100,100,91,"0,91",5,NÃO
2025,12,MEDICINA,Bacharelado,402,CENTRO UNIVERSITÁRIO DE BRASÍLIA,UNICEUB,Centro Universitário,Privada sem fins lucrativos,1135207,Educação Presencial,5300108,Brasília,DF,138,137,111,"0,81",4,NÃO
2025,12,MEDICINA,Bacharelado,434,FACULDADE SANTA MARCELINA,FASM,Faculdade,Privada sem fins lucrativos,1136509,Educação Presencial,3550308,São Paulo,SP,187,185,107,"0,578",2,SIM
2025,12,MEDICINA,Bacharelado,688,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,UESB,Universidade,Pública Estadual,1146605,Educação Presencial,2918001,Jequié,BA,25,24,18,"0,75",4,NÃO
2025,12,MEDICINA,Bacharelado,1913,CENTRO UNIVERSITÁRIO FAMINAS,UNIFAMINAS,Centro Universitário,Privada com fins lucrativos,1163738,Educação Presencial,3143906,Muriaé,MG,130,129,77,"0,597",2,NÃO
2025,12,MEDICINA,Bacharelado,12430,Centro Universitário FAMESC,UniFAMESC,Centro Universitário,Privada com fins lucrativos,1166567,Educação Presencial,3300605,Bom Jesus do Itabapoana,RJ,92,92,40,"0,435",2,NÃO
2025,12,MEDICINA,Bacharelado,16879,Faculdade de Medicina de Olinda,FMO,Faculdade,Privada com fins lucrativos,1168313,Educação Presencial,2609600,Olinda,PE,174,167,80,"0,479",2,NÃO
2025,12,MEDICINA,Bacharelado,4450,CENTRO UNIVERSITÁRIO METROPOLITANO DA AMAZÔNIA,UNIFAMAZ,Centro Universitário,Privada com fins lucrativos,1171609,Educação Presencial,1501402,Belém,PA,142,142,78,"0,549",2,NÃO
2025,12,MEDICINA,Bacharelado,2111,CENTRO UNIVERSITÁRIO INTA,UNINTA,Centro Universitário,Comunitária/Confessional,1173014,Educação Presencial,2312908,Sobral,CE,196,194,119,"0,613",3,SIM
2025,12,MEDICINA,Bacharelado,1883,CENTRO UNIVERSITÁRIO UNIME,UNIME,Centro Universitário,Privada com fins lucrativos,1178524,Educação Presencial,2919207,Lauro de Freitas,BA,141,141,78,"0,553",2,NÃO
2025,12,MEDICINA,Bacharelado,3974,UNIVERSIDADE DE RIO VERDE,FESURV,Universidade,Pública Municipal,1178672,Educação Presencial,5218805,Rio Verde,GO,154,152,78,"0,513",2,NÃO
2025,12,MEDICINA,Bacharelado,17498,Afya Faculdade de Ciências Médicas de Vitória da Conquista,Afya FCM VIC,Faculdade,Privada com fins lucrativos,1179189,Educação Presencial,2933307,Vitória da Conquista,BA,149,146,85,"0,582",2,NÃO
2025,12,MEDICINA,Bacharelado,1041,UNIVERSIDADE DO VALE DO TAQUARI,UNIVATES,Universidade,Comunitária/Confessional,1179501,Educação Presencial,4311403,Lajeado,RS,82,81,47,"0,58",2,NÃO
2025,12,MEDICINA,Bacharelado,17565, Afya Faculdade de Parnaíba, Afya Parnaíba,Faculdade,Privada com fins lucrativos,1180318,Educação Presencial,2207702,Parnaíba,PI,170,167,97,"0,581",2,NÃO
2025,12,MEDICINA,Bacharelado,426,UNIVERSIDADE FRANCISCANA,UFN,Universidade,Comunitária/Confessional,1183313,Educação Presencial,4316907,Santa Maria,RS,81,80,58,"0,725",3,NÃO
2025,12,MEDICINA,Bacharelado,409,UNIVERSIDADE DE PERNAMBUCO,UPE,Universidade,Pública Estadual,1183958,Educação Presencial,2606002,Garanhuns,PE,36,36,35,"0,972",5,NÃO
2025,12,MEDICINA,Bacharelado,2368,FACULDADE SÃO LEOPOLDO MANDIC,,Faculdade,Privada com fins lucrativos,1184047,Educação Presencial,3509502,Campinas,SP,191,191,110,"0,576",2,NÃO
2025,12,MEDICINA,Bacharelado,2058,FACULDADE METROPOLITANA,UNNESA,Faculdade,Privada com fins lucrativos,1184060,Educação Presencial,1100205,Porto Velho,RO,156,148,37,"0,25",1,NÃO
2025,12,MEDICINA,Bacharelado,621,CENTRO UNIVERSITÁRIO CESMAC,CESMAC,Centro Universitário,Privada sem fins lucrativos,1184325,Educação Presencial,2704302,Maceió,AL,164,164,100,"0,61",3,NÃO
2025,12,MEDICINA,Bacharelado,2571,Afya Centro Universitário de Itaperuna,Afya Itaperuna,Centro Universitário,Privada com fins lucrativos,1184432,Educação Presencial,3302205,Itaperuna,RJ,120,119,57,"0,479",2,NÃO
2025,12,MEDICINA,Bacharelado,1599,Afya Centro Universitário de São João del-Rei,Afya SJ del-Rei,Centro Universitário,Privada com fins lucrativos,1185025,Educação Presencial,3162500,São João del Rei,MG,67,67,46,"0,687",3,NÃO
2025,12,MEDICINA,Bacharelado,596,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,UFVJM,Universidade,Pública Federal,1185076,Educação Presencial,3121605,Diamantina,MG,85,85,76,"0,894",4,NÃO
2025,12,MEDICINA,Bacharelado,1270,CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO,ESTÁCIO RIBEIRÃO PRE,Centro Universitário,Privada com fins lucrativos,1185903,Educação Presencial,3543402,Ribeirão Preto,SP,105,101,46,"0,455",2,NÃO
2025,12,MEDICINA,Bacharelado,40,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Universidade,Pública Estadual,1187646,Educação Presencial,2927408,Salvador,BA,64,64,50,"0,781",4,NÃO
2025,12,MEDICINA,Bacharelado,2383,Faculdade Atitus Educação Passo Fundo,Atitus Educação,Faculdade,Privada com fins lucrativos,1188127,Educação Presencial,4314100,Passo Fundo,RS,112,111,45,"0,405",2,NÃO
2025,12,MEDICINA,Bacharelado,719,Universidade do Estado de Mato Grosso Carlos Alberto Reyes Maldonado - UNEMAT,UNEMAT,Universidade,Pública Estadual,1188849,Educação Presencial,5102504,Cáceres,MT,61,60,38,"0,633",3,NÃO
2025,12,MEDICINA,Bacharelado,4846,Centro Universitário Vértice,UNIVÉRTIX,Centro Universitário,Privada com fins lucrativos,1188900,Educação Presencial,3140902,Matipó,MG,135,135,68,"0,504",2,NÃO
2025,12,MEDICINA,Bacharelado,2636,FACULDADE DINÂMICA DO VALE DO PIRANGA,FADIP,Faculdade,Privada com fins lucrativos,1189607,Educação Presencial,3152105,Ponte Nova,MG,45,45,23,"0,511",2,NÃO
2025,12,MEDICINA,Bacharelado,580,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Universidade,Pública Federal,1189778,Educação Presencial,2604106,Caruaru,PE,80,79,66,"0,835",4,NÃO
2025,12,MEDICINA,Bacharelado,1294,Centro Universitário das Américas,CAM,Centro Universitário,Privada com fins lucrativos,1190280,Educação Presencial,3550308,São Paulo,SP,148,141,46,"0,326",1,NÃO
2025,12,MEDICINA,Bacharelado,1362,Centro Universitário Governador Ozanam Coelho,UNIFAGOC,Centro Universitário,Privada com fins lucrativos,1190621,Educação Presencial,3169901,Ubá,MG,77,77,66,"0,857",4,NÃO
2025,12,MEDICINA,Bacharelado,352,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA,UNIPÊ,Centro Universitário,Privada com fins lucrativos,1190667,Educação Presencial,2507507,João Pessoa,PB,138,137,78,"0,569",2,NÃO
2025,12,MEDICINA,Bacharelado,3304,CENTRO UNIVERSITÁRIO DE PATOS,UNIFIP,Centro Universitário,Privada com fins lucrativos,1191415,Educação Presencial,2510808,Patos,PB,78,78,56,"0,718",3,NÃO
2025,12,MEDICINA,Bacharelado,4431,FACULDADE DE ENFERMAGEM NOVA ESPERANÇA DE MOSSORÓ - FACENE/RN,FACENE/RN,Faculdade,Privada com fins lucrativos,1192047,Educação Presencial,2408003,Mossoró,RN,127,126,66,"0,524",2,NÃO
2025,12,MEDICINA,Bacharelado,823,UNIVERSIDADE CEUMA,UNICEUMA,Universidade,Privada sem fins lucrativos,1192188,Educação Presencial,2105302,Imperatriz,MA,96,93,47,"0,505",2,NÃO
2025,12,MEDICINA,Bacharelado,2787,FACULDADES PEQUENO PRÍNCIPE,FPP,Faculdade,Privada sem fins lucrativos,1192237,Educação Presencial,4106902,Curitiba,PR,93,92,88,"0,957",5,NÃO
2025,12,MEDICINA,Bacharelado,1984,Centro Universitário Unifacig,,Centro Universitário,Privada com fins lucrativos,1193264,Educação Presencial,3139409,Manhuaçu,MG,48,47,25,"0,532",2,NÃO
2025,12,MEDICINA,Bacharelado,2132,CENTRO UNIVERSITÁRIO UNINORTE,,Centro Universitário,Privada com fins lucrativos,1193275,Educação Presencial,1200401,Rio Branco,AC,113,110,,,,NÃO
2025,12,MEDICINA,Bacharelado,15121,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,UFFS,Universidade,Pública Federal,1193759,Educação Presencial,4204202,Chapecó,SC,34,34,25,"0,735",3,NÃO
2025,12,MEDICINA,Bacharelado,4530,Afya Centro Universitário de Maceió,Afya Maceió,Centro Universitário,Privada com fins lucrativos,1200578,Educação Presencial,2704302,Maceió,AL,134,134,84,"0,627",3,NÃO
2025,12,MEDICINA,Bacharelado,11,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,Universidade,Comunitária/Confessional,1200712,Educação Presencial,2611606,Recife,PE,118,118,85,"0,72",3,NÃO
2025,12,MEDICINA,Bacharelado,569,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,1202539,Educação Presencial,1500602,Altamira,PA,59,59,22,"0,373",1,NÃO
2025,12,MEDICINA,Bacharelado,570,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,Universidade,Pública Federal,1202546,Educação Presencial,2402006,Caicó,RN,40,40,36,"0,9",5,NÃO
2025,12,MEDICINA,Bacharelado,4503,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,Universidade,Pública Federal,1202547,Educação Presencial,2928703,Santo Antônio de Jesus,BA,26,25,15,"0,6",3,NÃO
2025,12,MEDICINA,Bacharelado,25277,UNIVERSIDADE FEDERAL DO DELTA DO PARNAIBA,UFDPAR,Universidade,Pública Federal,1202553,Educação Presencial,2207702,Parnaíba,PI,120,120,94,"0,783",4,NÃO
2025,12,MEDICINA,Bacharelado,595,UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL-MG,Universidade,Pública Federal,1202573,Educação Presencial,3101607,Alfenas,MG,61,61,50,"0,82",4,NÃO
2025,12,MEDICINA,Bacharelado,3984,FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,Universidade,Pública Federal,1202588,Educação Presencial,2924009,Paulo Afonso,BA,37,37,36,"0,973",5,NÃO
2025,12,MEDICINA,Bacharelado,609,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,UNIOESTE,Universidade,Pública Estadual,1214209,Educação Presencial,4108403,Francisco Beltrão,PR,42,42,35,"0,833",4,NÃO
2025,12,MEDICINA,Bacharelado,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Universidade,Pública Federal,1216474,Educação Presencial,3162500,São João del Rei,MG,48,48,42,"0,875",4,NÃO
2025,12,MEDICINA,Bacharelado,577,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Universidade,Pública Federal,1257524,Educação Presencial,2700300,Arapiraca,AL,89,88,73,"0,83",4,NÃO
2025,12,MEDICINA,Bacharelado,2632,FACULDADES INTEGRADAS DO EXTREMO SUL DA BAHIA,UNESULBAHIA,Faculdade,Privada com fins lucrativos,1257548,Educação Presencial,2910727,Eunápolis,BA,40,40,20,"0,5",2,NÃO
2025,12,MEDICINA,Bacharelado,548,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,Universidade,Pública Federal,1257562,Educação Presencial,2105302,Imperatriz,MA,60,59,48,"0,814",4,NÃO
2025,12,MEDICINA,Bacharelado,548,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,Universidade,Pública Federal,1257777,Educação Presencial,2108603,Pinheiro,MA,87,84,48,"0,571",2,NÃO
2025,12,MEDICINA,Bacharelado,2123,CENTRO UNIVERSITÁRIO MAX PLANCK,UniMAX,Centro Universitário,Privada com fins lucrativos,1258021,Educação Presencial,3520509,Indaiatuba,SP,81,81,55,"0,679",3,NÃO
2025,12,MEDICINA,Bacharelado,1490,CENTRO UNIVERSITÁRIO DE JAGUARIÚNA,UniFAJ,Centro Universitário,Privada com fins lucrativos,1258023,Educação Presencial,3524709,Jaguariúna,SP,80,80,51,"0,638",3,NÃO
2025,12,MEDICINA,Bacharelado,25352,Universidade Federal de Rondonópolis,UFR,Universidade,Pública Federal,1261971,Educação Presencial,5107602,Rondonópolis,MT,33,31,27,"0,871",4,NÃO
2025,12,MEDICINA,Bacharelado,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,1261972,Educação Presencial,5107909,Sinop,MT,59,58,52,"0,897",4,NÃO
2025,12,MEDICINA,Bacharelado,694,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,Universidade,Pública Federal,1264844,Educação Presencial,5008305,Três Lagoas,MS,53,49,49,1,5,NÃO
2025,12,MEDICINA,Bacharelado,592,UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,Universidade,Pública Federal,1267038,Educação Presencial,3138203,Lavras,MG,66,64,55,"0,859",4,NÃO
2025,12,MEDICINA,Bacharelado,38,UNIVERSIDADE DO ESTADO DO PARÁ,UEPA,Universidade,Pública Estadual,1272168,Educação Presencial,1504208,Marabá,PA,37,36,33,"0,917",5,NÃO
2025,12,MEDICINA,Bacharelado,409,UNIVERSIDADE DE PERNAMBUCO,UPE,Universidade,Pública Estadual,1276878,Educação Presencial,2613909,Serra Talhada,PE,23,23,21,"0,913",5,NÃO
2025,12,MEDICINA,Bacharelado,605,UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL,USCS,Universidade,Especial,1278877,Educação Presencial,3548807,São Caetano do Sul,SP,127,127,96,"0,756",4,NÃO
2025,12,MEDICINA,Bacharelado,596,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,UFVJM,Universidade,Pública Federal,1292713,Educação Presencial,3168606,Teófilo Otoni,MG,63,56,47,"0,839",4,NÃO
2025,12,MEDICINA,Bacharelado,18506,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,UFOB,Universidade,Pública Federal,1292725,Educação Presencial,2903201,Barreiras,BA,62,61,46,"0,754",4,NÃO
2025,12,MEDICINA,Bacharelado,15001,UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,UNILA,Universidade,Pública Federal,1292726,Educação Presencial,4108304,Foz do Iguaçu,PR,56,55,30,"0,545",2,NÃO
2025,12,MEDICINA,Bacharelado,25282,UNIVERSIDADE FEDERAL DE JATAÍ,UFJ,Universidade,Pública Federal,1292869,Educação Presencial,5211909,Jataí,GO,64,64,54,"0,844",4,NÃO
2025,12,MEDICINA,Bacharelado,18812,UNIVERSIDADE FEDERAL DO SUL DA BAHIA,UFSB,Universidade,Pública Federal,1292917,Educação Presencial,2931350,Teixeira de Freitas,BA,105,105,61,"0,581",2,NÃO
2025,12,MEDICINA,Bacharelado,217,CENTRO UNIVERSITÁRIO DAS FACULDADES ASSOCIADAS DE ENSINO - FAE,UNIFAE,Centro Universitário,Especial,1295813,Educação Presencial,3549102,São João da Boa Vista,SP,65,65,41,"0,631",3,NÃO
2025,12,MEDICINA,Bacharelado,1028,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,UEMS,Universidade,Pública Estadual,1313341,Educação Presencial,5002704,Campo Grande,MS,35,35,27,"0,771",4,NÃO
2025,12,MEDICINA,Bacharelado,60,CENTRO UNIVERSITÁRIO MUNICIPAL DE FRANCA,UNI-FACEF,Centro Universitário,Especial,1314146,Educação Presencial,3516200,Franca,SP,68,67,64,"0,955",5,NÃO
2025,12,MEDICINA,Bacharelado,790,Faculdade Israelita de Ciências da Saúde Albert Einstein,FICSAE,Faculdade,Privada sem fins lucrativos,1317634,Educação Presencial,3550308,São Paulo,SP,119,118,107,"0,907",5,NÃO
2025,12,MEDICINA,Bacharelado,3974,UNIVERSIDADE DE RIO VERDE,FESURV,Universidade,Pública Municipal,1321864,Educação Presencial,5201405,Aparecida de Goiânia,GO,156,151,79,"0,523",2,NÃO
2025,12,MEDICINA,Bacharelado,1292,Centro Universitário de Adamantina,FAI,Centro Universitário,Especial,1322329,Educação Presencial,3500105,Adamantina,SP,106,106,29,"0,274",1,NÃO
2025,12,MEDICINA,Bacharelado,29118,Universidade Federal do Norte do Tocantins,UFNT,Universidade,Pública Federal,1327450,Educação Presencial,1702109,Araguaína,TO,43,43,34,"0,791",4,NÃO
2025,12,MEDICINA,Bacharelado,4396,CENTRO UNIVERSITÁRIO DE MINEIROS,UNIFIMES,Centro Universitário,Especial,1330031,Educação Presencial,5213103,Mineiros,GO,92,91,51,"0,56",2,NÃO
2025,12,MEDICINA,Bacharelado,1036,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,Universidade,Pública Estadual,1334344,Educação Presencial,3147907,Passos,MG,69,69,51,"0,739",3,NÃO
2025,12,MEDICINA,Bacharelado,5322,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA,UNIPAMPA,Universidade,Pública Federal,1342449,Educação Presencial,4322400,Uruguaiana,RS,69,69,48,"0,696",3,NÃO
2025,12,MEDICINA,Bacharelado,578,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,Universidade,Pública Federal,1342505,Educação Presencial,2933307,Vitória da Conquista,BA,38,38,37,"0,974",5,NÃO
2025,12,MEDICINA,Bacharelado,3974,UNIVERSIDADE DE RIO VERDE,FESURV,Universidade,Pública Municipal,1342536,Educação Presencial,5208608,Goianésia,GO,157,154,43,"0,279",1,NÃO
2025,12,MEDICINA,Bacharelado,589,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA,Universidade,Pública Federal,1342537,Educação Presencial,2408003,Mossoró,RN,37,37,33,"0,892",4,NÃO
2025,12,MEDICINA,Bacharelado,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Universidade,Pública Federal,1342610,Educação Presencial,2208007,Picos,PI,25,21,16,"0,762",4,NÃO
2025,12,MEDICINA,Bacharelado,605,UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL,USCS,Universidade,Especial,1349675,Educação Presencial,3550308,São Paulo,SP,129,129,83,"0,643",3,NÃO
2025,12,MEDICINA,Bacharelado,17887,Faculdade de Ciências Médicas de São José dos Campos,,Faculdade,Privada com fins lucrativos,1363536,Educação Presencial,3549904,São José dos Campos,SP,101,101,80,"0,792",4,NÃO
2025,12,MEDICINA,Bacharelado,80,CENTRO UNIVERSITÁRIO PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAÍ,UNIDAVI,Centro Universitário,Comunitária/Confessional,1385521,Educação Presencial,4214805,Rio do Sul,SC,61,61,50,"0,82",4,SIM
2025,12,MEDICINA,Bacharelado,2147,Centro Universitário CEUNI - FAMETRO,CEUNI-FAMETRO,Centro Universitário,Privada com fins lucrativos,1385538,Educação Presencial,1302603,Manaus,AM,222,216,84,"0,389",1,NÃO
