Ano,Código da Área,Área de Avaliação,Grau Acadêmico,Código da IES,Nome da IES*,Sigla da IES*,Organização Acadêmica,Categoria Administrativa**,Código do Curso,Modalidade de Ensino,Código do Município,Município do Curso,Sigla da UF,Nº de Concluintes Inscritos,Nº  de Concluintes Participantes,Total Concluinte Acima do Padrão,Percentual Concluintes Acima do Padrão,Conceito Enade (Faixa),CEBAS
2025,12,MEDICINA,Bacharelado,2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,Universidade,Pública Federal,13453,Educação Presencial,2504009,Campina Grande,PB,87,87,72,"0,828",4,NÃO
2025,12,MEDICINA,Bacharelado,580,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Universidade,Pública Federal,13601,Educação Presencial,2611606,Recife,PE,143,142,121,"0,852",4,NÃO
2025,12,MEDICINA,Bacharelado,581,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,Universidade,Pública Federal,13723,Educação Presencial,4314902,Porto Alegre,RS,138,137,109,"0,796",4,NÃO
2025,12,MEDICINA,Bacharelado,582,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,Universidade,Pública Federal,13866,Educação Presencial,4316907,Santa Maria,RS,107,106,83,"0,783",4,NÃO
2025,12,MEDICINA,Bacharelado,583,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,Universidade,Pública Federal,13996,Educação Presencial,2304400,Fortaleza,CE,145,143,130,"0,909",5,NÃO
2025,12,MEDICINA,Bacharelado,584,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,Universidade,Pública Federal,14093,Educação Presencial,5208707,Goiânia,GO,112,111,94,"0,847",4,NÃO
2025,12,MEDICINA,Bacharelado,585,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,Universidade,Pública Federal,14234,Educação Presencial,4205407,Florianópolis,SC,106,106,90,"0,849",4,NÃO
2025,12,MEDICINA,Bacharelado,586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,Universidade,Pública Federal,14359,Educação Presencial,3304557,Rio de Janeiro,RJ,185,177,152,"0,859",4,NÃO
2025,12,MEDICINA,Bacharelado,591,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,Universidade,Pública Federal,14563,Educação Presencial,3550308,São Paulo,SP,127,126,113,"0,897",4,NÃO
2025,12,MEDICINA,Bacharelado,597,UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,UFTM,Universidade,Pública Federal,14615,Educação Presencial,3170107,Uberaba,MG,97,94,77,"0,819",4,NÃO
2025,12,MEDICINA,Bacharelado,609,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,UNIOESTE,Universidade,Pública Estadual,14725,Educação Presencial,4104808,Cascavel,PR,48,46,41,"0,891",4,NÃO
2025,12,MEDICINA,Bacharelado,634,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,Universidade,Pública Federal,14975,Educação Presencial,4314407,Pelotas,RS,109,107,82,"0,766",4,NÃO
2025,12,MEDICINA,Bacharelado,665,UNIVERSIDADE DE TAUBATÉ,UNITAU,Universidade,Especial,15343,Educação Presencial,3554102,Taubaté,SP,117,117,66,"0,564",2,NÃO
2025,12,MEDICINA,Bacharelado,670,UNIVERSIDADE SÃO FRANCISCO,USF,Universidade,Comunitária/Confessional,15475,Educação Presencial,3507605,Bragança Paulista,SP,153,146,98,"0,671",3,SIM
2025,12,MEDICINA,Bacharelado,693,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,Universidade,Pública Federal,15783,Educação Presencial,3304557,Rio de Janeiro,RJ,135,132,108,"0,818",4,NÃO
2025,12,MEDICINA,Bacharelado,694,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,Universidade,Pública Federal,15839,Educação Presencial,5002704,Campo Grande,MS,83,82,76,"0,927",5,NÃO
2025,12,MEDICINA,Bacharelado,717,FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,UFCSPA,Universidade,Pública Federal,16236,Educação Presencial,4314902,Porto Alegre,RS,94,92,83,"0,902",5,NÃO
2025,12,MEDICINA,Bacharelado,789,UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,Universidade,Pública Federal,16904,Educação Presencial,1400100,Boa Vista,RR,84,78,70,"0,897",4,NÃO
2025,12,MEDICINA,Bacharelado,208,UNIVERSIDADE DE RIBEIRÃO PRETO,UNAERP,Universidade,Privada sem fins lucrativos,18447,Educação Presencial,3543402,Ribeirão Preto,SP,133,133,114,"0,857",4,SIM
2025,12,MEDICINA,Bacharelado,780,UNIVERSIDADE DE CUIABÁ,UNIC/UNIME,Universidade,Privada com fins lucrativos,18472,Educação Presencial,5103403,Cuiabá,MT,167,164,75,"0,457",2,NÃO
2025,12,MEDICINA,Bacharelado,163,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Universidade,Privada com fins lucrativos,18594,Educação Presencial,3304557,Rio de Janeiro,RJ,229,228,148,"0,649",3,NÃO
2025,12,MEDICINA,Bacharelado,472,Afya Universidade Unigranrio,UNIGRANRIO,Universidade,Privada com fins lucrativos,18605,Educação Presencial,3301702,Duque de Caxias,RJ,194,191,83,"0,435",2,NÃO
2025,12,MEDICINA,Bacharelado,756,UNIVERSIDADE ESTADUAL DO PIAUÍ,UESPI,Universidade,Pública Estadual,19086,Educação Presencial,2211001,Teresina,PI,44,42,33,"0,786",4,NÃO
2025,12,MEDICINA,Bacharelado,953,UNIVERSIDADE METROPOLITANA DE SANTOS,UNIMES,Universidade,Privada sem fins lucrativos,19206,Educação Presencial,3548500,Santos,SP,103,103,66,"0,641",3,NÃO
2025,12,MEDICINA,Bacharelado,330,UNIVERSIDADE IGUAÇU,UNIG,Universidade,Privada sem fins lucrativos,19294,Educação Presencial,3302205,Itaperuna,RJ,136,136,67,"0,493",2,SIM
2025,12,MEDICINA,Bacharelado,83,UNIVERSIDADE DO VALE DO ITAJAÍ,UNIVALI,Universidade,Comunitária/Confessional,19434,Educação Presencial,4208203,Itajaí,SC,76,75,64,"0,853",4,NÃO
2025,12,MEDICINA,Bacharelado,138,CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ,CBM,Centro Universitário,Privada sem fins lucrativos,19850,Educação Presencial,3543402,Ribeirão Preto,SP,115,115,103,"0,896",4,NÃO
2025,12,MEDICINA,Bacharelado,81,UNIVERSIDADE DA REGIÃO DE JOINVILLE,UNIVILLE,Universidade,Comunitária/Confessional,20058,Educação Presencial,4209102,Joinville,SC,83,82,60,"0,732",3,NÃO
2025,12,MEDICINA,Bacharelado,494,UNIVERSIDADE DO SUL DE SANTA CATARINA,UNISUL,Universidade,Comunitária/Confessional,20249,Educação Presencial,4218707,Tubarão,SC,141,139,90,"0,647",3,SIM
2025,12,MEDICINA,Bacharelado,143,UNIVERSIDADE DE UBERABA,UNIUBE,Universidade,Privada sem fins lucrativos,20360,Educação Presencial,3170107,Uberaba,MG,123,122,94,"0,77",4,SIM
2025,12,MEDICINA,Bacharelado,4504,FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,Universidade,Pública Federal,21542,Educação Presencial,5003702,Dourados,MS,73,72,65,"0,903",5,NÃO
2025,12,MEDICINA,Bacharelado,1547,FACULDADE DE MEDICINA ESTÁCIO DE JUAZEIRO DO NORTE,ESTÁCIO FMJ,Faculdade,Privada com fins lucrativos,37304,Educação Presencial,2307304,Juazeiro do Norte,CE,125,124,83,"0,669",3,NÃO
2025,12,MEDICINA,Bacharelado,482,UNIVERSIDADE DO EXTREMO SUL CATARINENSE,UNESC,Universidade,Comunitária/Confessional,38071,Educação Presencial,4204608,Criciúma,SC,98,98,77,"0,786",4,SIM
2025,12,MEDICINA,Bacharelado,671,UNIVERSIDADE ANHANGUERA,UNIDERP,Universidade,Privada com fins lucrativos,39415,Educação Presencial,5002704,Campo Grande,MS,159,158,92,"0,582",2,NÃO
