 Ano, Código da IES, Nome da IES, Sigla da IES, Organização Acadêmica, Categoria Administrativa, Código do Curso, Código da Área, Área de Avaliação, Modalidade de Ensino, Código do Município, Município do Curso, Sigla da UF, Nº de Concluintes Inscritos, Nº de Concluintes Participantes, Nota Bruta - FG, Nota Padronizada - FG, Nota Bruta - CE, Nota Padronizada - CE, Conceito Enade (Contínuo), Concluintes participantes com nota no Enem, Proporção de concluintes participantes com nota no Enem, Nota Bruta - IDD, Nota Padronizada - IDD, Nota Bruta – Organização Didático-Pedagógica, Nota Padronizada - Organização Didático-Pedagógica, Nota Bruta – Infraestrutura e Instalações Físicas, Nota Padronizada - Infraestrutura e Instalações Físicas, Nota Bruta – Oportunidade de Ampliação da Formação, Nota Padronizada - Oportunidade de Ampliação da Formação, Nota Bruta - Mestres, Nota Padronizada - Mestres, Nota Bruta - Doutores, Nota Padronizada - Doutores, Nota Bruta – Regime de Trabalho, Nota Padronizada - Regime de Trabalho, CPC (Contínuo), CPC (Faixa),Entidade Beneficiente de Assistência Social (CEBAS)
2023,718,UNIVERSIDADE POTIGUAR,UNP,Universidade,Privada com fins lucrativos,1485813,5814,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Educação a Distância,2408102,Natal,RN,1,0,,,,,,0,,,,,,,,,,"0,666666666666667","0,37","0,333333333333333","1,667","0,444444444444444","0,741",,SC,-
2023,163,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Universidade,Privada com fins lucrativos,1485958,28,NUTRIÇÃO,Educação Presencial,3304557,Rio de Janeiro,RJ,28,24,"46,1625","2,336241276","46,025","2,15341015","2,199",13,"0,541666667","-3,487897367","1,079","4,72970498140777","1,486","4,77579210912544","1,971","3,64197530864198","1,514",1,5,"0,947368421052632","4,737","0,736842105263158","3,026","2,378",3,-
2023,163,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Universidade,Privada com fins lucrativos,1485962,55,BIOMEDICINA,Educação Presencial,3304557,Rio de Janeiro,RJ,32,29,"39,49310345","1,093023853","27,87241379","0,786755113","0,863",19,"0,655172414","-3,9794834","1,399","5,36557695178385","3,435","5,11870696353455","2,999","3,96666666666667","2,309",1,5,"0,916666666666667","4,583","0,458333333333333","1,131","2,275",3,-
2023,1892,Centro Universitário de Excelência Eniac,ENIAC,Centro Universitário,Privada com fins lucrativos,1486097,36,FISIOTERAPIA,Educação Presencial,3518800,Guarulhos,SP,12,12,"53,43333333","3,169726489","62,64166667","3,233165857","3,217",10,"0,833333333","3,303661912","3,431","5,11652236652237","2,258","5,18536324786325","3,17","4,84722222222222","3,394",1,5,"0,4",2,1,5,"3,307",4,-
2023,1809,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO",IFPE,"Instituto Federal de Educação, Ciência e Tecnologia",Pública Federal,1486118,5902,ENGENHARIA MECÂNICA,Educação Presencial,2607208,Ipojuca,PE,2,2,"52,6","2,915355309","52,1","4,417261298","4,042",0,0,,,"5,60822510822511","4,108","5,08974358974359","3,104","4,95833333333333","3,555","0,916666666666667",4,"0,625","3,125",1,5,"3,919",4,-
2023,1892,Centro Universitário de Excelência Eniac,ENIAC,Centro Universitário,Privada com fins lucrativos,1486124,6411,ENGENHARIA DE COMPUTAÇÃO I,Educação a Distância,3518800,Guarulhos,SP,7,4,"63,95","4,026661122","24,375","0,722924716","1,549",1,"0,25",,,"4,93939393939394","2,589","5,40064102564103","3,782","4,68333333333333","2,972",1,5,"0,25","1,25",1,5,"2,247",3,-
2023,1270,CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO,ESTÁCIO RIBEIRÃO PRE,Centro Universitário,Privada com fins lucrativos,1486170,55,BIOMEDICINA,Educação Presencial,3543402,Ribeirão Preto,SP,43,20,"50,065","2,503397245","31,565","1,175067518","1,507",11,"0,55","-4,974510386","1,178","5,13846963846964","2,875","5,21919515669516","3,228","4,46759259259259","2,972",1,5,"0,689655172413793","3,448","0,931034482758621","4,507","2,395",3,-
2023,3183,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE",IFS,"Instituto Federal de Educação, Ciência e Tecnologia",Pública Federal,1486513,21,ARQUITETURA E URBANISMO,Educação Presencial,2803500,Lagarto,SE,12,12,"51,91666667","2,271334342","52,075","2,052190722","2,107",12,1,"0,15250561","2,721","5,5702479338843","3,821","5,25174825174825","3,414","4,70606060606061","3,244","0,909090909090909","3,977","0,363636363636364","1,818",1,5,"2,858",3,-
2023,163,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Universidade,Privada com fins lucrativos,1486650,55,BIOMEDICINA,Educação Presencial,3304904,São Gonçalo,RJ,22,17,"44,34117647","1,739794578","33,21764706","1,3488599","1,447",11,"0,647058824","-1,079924851","2,044","5,19943722943723","3,025","4,94985236985237","2,616","3,53444444444444","1,737",1,5,"0,947368421052632","4,737","0,894736842105263","4,248","2,81",3,-
2023,163,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Universidade,Privada com fins lucrativos,1486651,55,BIOMEDICINA,Educação Presencial,3304557,Rio de Janeiro,RJ,36,28,"50,01071429","2,496155108","29,44285714","0,951902952","1,338",19,"0,678571429","-2,023653931","1,834","4,73672682337156","1,884","4,594222999223","1,809","2,86944444444444","0,857",1,5,"0,791666666666667","3,958","0,916666666666667","4,405","2,462",3,-
